"id","name","equipment","pattern","prompt"
"bench-press","Bench Press","barbell","bench_press","Bench Press with a barbell: lying on a flat bench, pressing the weight up over the chest. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"squat","Squat","barbell","squat","Squat with a barbell: deep squat, knees bent, hips at or below parallel, torso upright. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"deadlift","Deadlift","barbell","deadlift","Deadlift with a barbell: lifting a loaded barbell from the floor, flat back, hips and knees extending. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"overhead-press","Overhead Press","barbell","overhead_press","Overhead Press with a barbell: standing, pressing the weight straight overhead to lockout. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"barbell-row","Bent Over Row","barbell","row","Bent Over Row with a barbell: torso hinged forward, pulling the weight to the waist, elbows driving back. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"barbell-curl","Barbell Curl","barbell","curl","Barbell Curl: standing, curling the weight up toward the shoulders, biceps contracted. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"incline-bench-press","Incline Bench Press","barbell","incline_press","Incline Bench Press with a barbell: on an inclined bench pressing the weight up and back. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"decline-bench","Decline Bench Press","barbell","bench_press","Decline Bench Press with a barbell: lying on a flat bench, pressing the weight up over the chest. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"close-grip-bench","Close Grip Bench","barbell","bench_press","Close Grip Bench with a barbell: lying on a flat bench, pressing the weight up over the chest. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"floor-press","Floor Press","barbell","bench_press","Floor Press with a barbell: lying on a flat bench, pressing the weight up over the chest. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"pin-press","Pin Press","barbell","bench_press","Pin Press with a barbell: lying on a flat bench, pressing the weight up over the chest. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"front-squat","Front Squat","barbell","front_squat","Front Squat with a barbell: barbell racked on the front of the shoulders, deep upright squat. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"box-squat","Box Squat","barbell","squat","Box Squat with a barbell: deep squat, knees bent, hips at or below parallel, torso upright. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"zercher-squat","Zercher Squat","barbell","squat","Zercher Squat with a barbell: deep squat, knees bent, hips at or below parallel, torso upright. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"overhead-squat","Overhead Squat","barbell","olympic","Overhead Squat with a barbell: explosively catching a barbell overhead in a wide athletic stance. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"hex-bar-deadlift","Hex Bar Deadlift","barbell","deadlift","Hex Bar Deadlift with a barbell: lifting a loaded barbell from the floor, flat back, hips and knees extending. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"sumo-deadlift","Sumo Deadlift","barbell","deadlift","Sumo Deadlift with a barbell: lifting a loaded barbell from the floor, flat back, hips and knees extending. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"romanian-deadlift","Romanian Deadlift","barbell","hinge","Romanian Deadlift with a barbell: hinging at the hips, hips pushed back, slight knee bend, weight lowered along the thighs, flat back. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"stiff-leg-deadlift","Stiff Leg Deadlift","barbell","hinge","Stiff Leg Deadlift with a barbell: hinging at the hips, hips pushed back, slight knee bend, weight lowered along the thighs, flat back. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"rack-pull","Rack Pull","barbell","deadlift","Rack Pull with a barbell: lifting a loaded barbell from the floor, flat back, hips and knees extending. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"deficit-deadlift","Deficit Deadlift","barbell","deadlift","Deficit Deadlift with a barbell: lifting a loaded barbell from the floor, flat back, hips and knees extending. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"snatch-grip-deadlift","Snatch Grip Deadlift","barbell","deadlift","Snatch Grip Deadlift with a barbell: lifting a loaded barbell from the floor, flat back, hips and knees extending. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"good-morning","Good Morning","barbell","hinge","Good Morning with a barbell: hinging at the hips, hips pushed back, slight knee bend, weight lowered along the thighs, flat back. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"hip-thrust","Hip Thrust","barbell","hip_thrust","Hip Thrust with a barbell: upper back on a bench, hips driven up to full lockout, weight across the hips. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"barbell-lunge","Barbell Lunge","barbell","lunge","Barbell Lunge: in a lunge, one knee lowered toward the floor, torso upright. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"barbell-split-squat","Barbell Split Squat","barbell","lunge","Barbell Split Squat: in a lunge, one knee lowered toward the floor, torso upright. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"barbell-step-up","Barbell Step Up","barbell","lunge","Barbell Step Up: in a lunge, one knee lowered toward the floor, torso upright. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"barbell-calf-raise","Barbell Calf Raise","barbell","calf_raise","Barbell Calf Raise: up on the toes, heels lifted high, calves contracted. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"military-press","Military Press","barbell","overhead_press","Military Press with a barbell: standing, pressing the weight straight overhead to lockout. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"push-press","Push Press","barbell","overhead_press","Push Press with a barbell: standing, pressing the weight straight overhead to lockout. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"behind-neck-press","Behind The Neck Press","barbell","overhead_press","Behind The Neck Press with a barbell: standing, pressing the weight straight overhead to lockout. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"landmine-press","Landmine Press","barbell","overhead_press","Landmine Press with a barbell: standing, pressing the weight straight overhead to lockout. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"landmine-row","Landmine Row","barbell","row","Landmine Row with a barbell: torso hinged forward, pulling the weight to the waist, elbows driving back. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"pendlay-row","Pendlay Row","barbell","row","Pendlay Row with a barbell: torso hinged forward, pulling the weight to the waist, elbows driving back. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"yates-row","Yates Row","barbell","row","Yates Row with a barbell: torso hinged forward, pulling the weight to the waist, elbows driving back. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"t-bar-row","T-Bar Row","barbell","row","T-Bar Row with a barbell: torso hinged forward, pulling the weight to the waist, elbows driving back. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"barbell-upright-row","Barbell Upright Row","barbell","lateral_raise","Barbell Upright Row: raising the arms out to the sides up to shoulder height. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"barbell-shrug","Barbell Shrug","barbell","shrug","Barbell Shrug: standing, shoulders shrugged straight up toward the ears. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"high-pull","Barbell High Pull","barbell","olympic","Barbell High Pull: explosively catching a barbell overhead in a wide athletic stance. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"power-clean","Power Clean","barbell","olympic","Power Clean with a barbell: explosively catching a barbell overhead in a wide athletic stance. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"clean-and-jerk","Clean and Jerk","barbell","olympic","Clean and Jerk with a barbell: explosively catching a barbell overhead in a wide athletic stance. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"snatch","Snatch","barbell","olympic","Snatch with a barbell: explosively catching a barbell overhead in a wide athletic stance. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"thruster","Barbell Thruster","barbell","overhead_press","Barbell Thruster: standing, pressing the weight straight overhead to lockout. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"ez-bar-curl","EZ Bar Curl","barbell","curl","EZ Bar Curl with a barbell: standing, curling the weight up toward the shoulders, biceps contracted. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
